sample_id,release,filetype,filename,path,data_type,production,coverage,deepconsensus_coverage,deepconsensus_filename,deepconsensus_path,ccs_algorithm,basecaller,basecaller_version,study,accession,bioproject_accession,biosample_accession,design_description,notes,generator_contact,generator_facility,library_id,library_strategy,library_source,library_selection,library_layout,shear_method,size_selection,platform,instrument_model,seq_plate_chemistry_version,polymerase_version,total_reads,total_bp,total_gbp,mean,min,max,n25,n50,n75,quartile_25,quartile_50,quartile_75,ntsm_score,mm_tag,primrose_filename,mm_review,mm_remove,lima_version,lima_float_version
HG03366,3,bam,m84046_240607_225120_s4.hifi_reads.bc2007.bam,s3://human-pangenomics/working/HPRC/HG03366/raw_data/PacBio_HiFi/m84046_240607_225120_s4.hifi_reads.bc2007.bam,unaligned reads,UW_HPRC_HiFi_Y5,9.45,,,,8.0.1,revio_deepconsensus,8.0.1,SRP305758,,PRJNA701308,,HiFi sequencing of 21kb fractionated gDNA,,University of Washington,kmiyamot@uw.edu,,WGS,GENOMIC,size fractionation,single,Megaruptor 3,Pippin HT,PACBIO_SMRT,Revio,C1,P1,1619892,31187945165,31.19,19253,186,64235,16914,19213,22486,16483,18467,21455,0.580146,TRUE,,,,,
HG03366,3,bam,m84046_240614_224759_s4.hifi_reads.bc2007.bam,s3://human-pangenomics/working/HPRC/HG03366/raw_data/PacBio_HiFi/m84046_240614_224759_s4.hifi_reads.bc2007.bam,unaligned reads,UW_HPRC_HiFi_Y5,15.89,,,,8.0.1,revio_deepconsensus,8.0.1,SRP305758,,PRJNA701308,,HiFi sequencing of 21kb fractionated gDNA,,University of Washington,kmiyamot@uw.edu,,WGS,GENOMIC,size fractionation,single,Megaruptor 3,Pippin HT,PACBIO_SMRT,Revio,C1,P1,2775242,52439197665,52.44,18895,77,63709,16668,18780,21910,16284,18107,20907,0.566466,TRUE,,,,,
HG03366,3,bam,m84046_240610_221424_s4.hifi_reads.bc2007.bam,s3://human-pangenomics/working/HPRC/HG03366/raw_data/PacBio_HiFi/m84046_240610_221424_s4.hifi_reads.bc2007.bam,unaligned reads,UW_HPRC_HiFi_Y5,12.83,,,,8.0.1,revio_deepconsensus,8.0.1,SRP305758,,PRJNA701308,,HiFi sequencing of 21kb fractionated gDNA,,University of Washington,kmiyamot@uw.edu,,WGS,GENOMIC,size fractionation,single,Megaruptor 3,Pippin HT,PACBIO_SMRT,Revio,C1,P1,2204550,42325177561,42.33,19199,75,67719,16885,19148,22378,16466,18416,21360,0.557681,TRUE,,,,,
HG03366,3,bam,m84046_240607_045510_s3.hifi_reads.bc2007.bam,s3://human-pangenomics/working/HPRC/HG03366/raw_data/PacBio_HiFi/m84046_240607_045510_s3.hifi_reads.bc2007.bam,unaligned reads,UW_HPRC_HiFi_Y5,11.32,,,,8.0.1,revio_deepconsensus,8.0.1,SRP305758,,PRJNA701308,,HiFi sequencing of 21kb fractionated gDNA,,University of Washington,kmiyamot@uw.edu,,WGS,GENOMIC,size fractionation,single,Megaruptor 3,Pippin HT,PACBIO_SMRT,Revio,C1,P1,1919901,37356768904,37.36,19457,79,69249,17031,19461,22895,16571,18644,21806,0.539313,TRUE,,,,,
HG03369,2,bam,m84091_230721_145006_s3.hifi_reads.bc1009.bam,s3://human-pangenomics/working/HPRC/HG03369/raw_data/PacBio_HiFi/m84091_230721_145006_s3.hifi_reads.bc1009.bam,unaligned reads,RU_Y4,29.6,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29405802,PRJNA701308,SAMN41021668,HiFi sequencing of 20kb fractionated gDNA,,vgl-lab@rockefeller.edu,Rockefeller University,HG03369_PB1_m84091_230721_145006_s3,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,4731803,91700590557,91.7,19379,109,62946,16681,19722,23552,15812,18566,22028,0.540845,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG03369,2,bam,m84091_230727_135923_s3.hifi_reads.bc1009.bam,s3://human-pangenomics/working/HPRC/HG03369/raw_data/PacBio_HiFi/m84091_230727_135923_s3.hifi_reads.bc1009.bam,unaligned reads,RU_Y4,31.9,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29405803,PRJNA701308,SAMN41021668,HiFi sequencing of 20kb fractionated gDNA,,vgl-lab@rockefeller.edu,Rockefeller University,HG03369_PB1_m84091_230727_135923_s3,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,5065533,99031742869,99.03,19550,84,62797,16806,19695,23620,16081,18597,22062,0.538891,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG03372,3,bam,m84091_231214_204105_s2.hifi_reads.bc1003.bam,s3://human-pangenomics/working/HPRC/HG03372/raw_data/PacBio_HiFi/m84091_231214_204105_s2.hifi_reads.bc1003.bam,unaligned reads,RU_Y4,11.10,,,,7.0.0,revio_deepconsensus,,SRP305758,SRR29405805,PRJNA701308,SAMN41021693,HiFi sequencing of 20kb fractionated gDNA,,vgl-lab@rockefeller.edu,Rockefeller University,HG03372_PB1_m84091_231214_204105_s2,WGS,GENOMIC,size fractionation,single,Megaruptor 3,Pippin HT,PACBIO_SMRT,Revio,Revio P1,Revio C1,1801269,36636856565,36.64,20339,163,56430,17441,20290,24317,16831,19214,22762,0.542448,TRUE,,,,,
HG03372,3,bam,m84091_231106_201855_s1.hifi_reads.bc1003.bam,s3://human-pangenomics/working/HPRC/HG03372/raw_data/PacBio_HiFi/m84091_231106_201855_s1.hifi_reads.bc1003.bam,unaligned reads,RU_Y4,25.05,,,,7.0.0,revio_deepconsensus,,SRP305758,SRR29405804,PRJNA701308,SAMN41021693,HiFi sequencing of 20kb fractionated gDNA,,vgl-lab@rockefeller.edu,Rockefeller University,HG03372_PB1_m84091_231106_201855_s1,WGS,GENOMIC,size fractionation,single,Megaruptor 3,Pippin HT,PACBIO_SMRT,Revio,Revio P1,Revio C1,4127489,82654306669,82.65,20025,124,61686,17280,19956,23721,16723,18985,22321,0.500225,TRUE,,,,,
HG03372,3,bam,m84091_240308_212739_s2.hifi_reads.bc1003.bam,s3://human-pangenomics/working/HPRC/HG03372/raw_data/PacBio_HiFi/m84091_240308_212739_s2.hifi_reads.bc1003.bam,unaligned reads,RU_Y4,26.00,,,,7.0.0,revio_deepconsensus,,SRP305758,SRR29405806,PRJNA701308,SAMN41021693,HiFi sequencing of 20kb fractionated gDNA,,vgl-lab@rockefeller.edu,Rockefeller University,HG03372_PB1_m84091_240308_212739_s2,WGS,GENOMIC,size fractionation,single,Megaruptor 3,Pippin HT,PACBIO_SMRT,Revio,Revio P1,Revio C1,3940309,85787605612,85.79,21771,54,68454,18701,24138,30172,15590,20986,26861,0.492565,TRUE,,,,,
HG03388,3,bam,m84081_231207_213447_s4.hifi_reads.bc2003.bam,s3://human-pangenomics/working/HPRC/HG03388/raw_data/PacBio_HiFi/m84081_231207_213447_s4.hifi_reads.bc2003.bam,unaligned reads,WUSTL_HPRC_HiFi_Year4,36.58,,,,7.0.0,revio_deepconsensus,,SRP305758,SRR29396887,PRJNA701308,SAMN41021700,sequencing of 20 kb fractionated,,tgraves@wustl.edu,Washington University,HG03388_lib1_m84081_231207_213447_s4_m84081_231207_213447_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,Revio P1,Revio C1,5791516,120724810545,120.72,20845,69,73270,18383,20870,24306,17874,20060,23196,0.478338,TRUE,,,,,
HG03388,3,bam,m84081_231207_210341_s3.hifi_reads.bc2003.bam,s3://human-pangenomics/working/HPRC/HG03388/raw_data/PacBio_HiFi/m84081_231207_210341_s3.hifi_reads.bc2003.bam,unaligned reads,WUSTL_HPRC_HiFi_Year4,39.30,,,,7.0.0,revio_deepconsensus,,SRP305758,SRR29396888,PRJNA701308,SAMN41021700,sequencing of 20 kb fractionated,,tgraves@wustl.edu,Washington University,HG03388_lib1_m84081_231207_210341_s3_m84081_231207_210341_s3,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,Revio P1,Revio C1,6224816,129702255571,129.7,20836,162,72686,18380,20864,24295,17871,20053,23185,0.474529,TRUE,,,,,
HG03432,3,bam,m84091_240515_205302_s2.hifi_reads.bc1002.bam,s3://human-pangenomics/working/HPRC/HG03432/raw_data/PacBio_HiFi/m84091_240515_205302_s2.hifi_reads.bc1002.bam,unaligned reads,RU_Y5,27.87,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,,PRJNA701308,,HiFi sequencing of 20kb fractionated gDNA,,Rockefeller University,vgl-lab@rockefeller.edu,,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,3878549,91978853864,91.98,23714,85,65547,20144,24421,29740,18815,22566,27453,0.500932,TRUE,TRUE,TRUE,FALSE,,
HG03432,3,bam,m84203_240517_212457_s3.hifi_reads.bc1002.bam,s3://human-pangenomics/working/HPRC/HG03432/raw_data/PacBio_HiFi/m84203_240517_212457_s3.hifi_reads.bc1002.bam,unaligned reads,RU_Y5,33.32,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,,PRJNA701308,,HiFi sequencing of 20kb fractionated gDNA,,Rockefeller University,vgl-lab@rockefeller.edu,,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,4714143,109943446210,109.94,23322,145,67352,19817,23944,29171,18552,22167,26903,0.472826,TRUE,TRUE,TRUE,FALSE,,
HG03445,3,bam,m84091_240315_193817_s2.hifi_reads.bc1015.bam,s3://human-pangenomics/working/HPRC/HG03445/raw_data/PacBio_HiFi/m84091_240315_193817_s2.hifi_reads.bc1015.bam,unaligned reads,RU_Y4,13.73,,,,7.0.0,revio_deepconsensus,,SRP305758,SRR29405785,PRJNA701308,SAMN41021704,HiFi sequencing of 20kb fractionated gDNA,,vgl-lab@rockefeller.edu,Rockefeller University,HG03445_PB1_m84091_240315_193817_s2,WGS,GENOMIC,size fractionation,single,Megaruptor 3,Pippin HT,PACBIO_SMRT,Revio,Revio P1,Revio C1,2582676,45311493139,45.31,17544,394,54186,14916,18324,22466,13717,16738,20594,0.568917,TRUE,,,,,
HG03445,3,bam,m84091_240110_204947_s3.hifi_reads.bc1015.bam,s3://human-pangenomics/working/HPRC/HG03445/raw_data/PacBio_HiFi/m84091_240110_204947_s3.hifi_reads.bc1015.bam,unaligned reads,RU_Y4,19.73,,,,7.0.0,revio_deepconsensus,,SRP305758,SRR29405808,PRJNA701308,SAMN41021704,HiFi sequencing of 20kb fractionated gDNA,,vgl-lab@rockefeller.edu,Rockefeller University,HG03445_PB1_m84091_240110_204947_s3,WGS,GENOMIC,size fractionation,single,Megaruptor 3,Pippin HT,PACBIO_SMRT,Revio,Revio P1,Revio C1,3118474,65097127516,65.1,20874,87,67580,17553,21018,25786,16709,19547,23723,0.565496,TRUE,,,,,
HG03445,3,bam,m84091_240311_162534_s1.hifi_reads.bc1015.bam,s3://human-pangenomics/working/HPRC/HG03445/raw_data/PacBio_HiFi/m84091_240311_162534_s1.hifi_reads.bc1015.bam,unaligned reads,RU_Y4,26.04,,,,7.0.0,revio_deepconsensus,,SRP305758,SRR29405809,PRJNA701308,SAMN41021704,HiFi sequencing of 20kb fractionated gDNA,,vgl-lab@rockefeller.edu,Rockefeller University,HG03445_PB1_m84091_240311_162534_s1,WGS,GENOMIC,size fractionation,single,Megaruptor 3,Pippin HT,PACBIO_SMRT,Revio,Revio P1,Revio C1,4944409,85916791479,85.92,17376,122,50409,14791,18152,22221,13606,16599,20388,0.522964,TRUE,,,,,
HG03457,3,bam,m84046_230728_195023_s2.hifi_reads.bc2093.bam,s3://human-pangenomics/working/HPRC/HG03457/raw_data/PacBio_HiFi/m84046_230728_195023_s2.hifi_reads.bc2093.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,12.04,,,,v7.0.0,revio_deepconsensus,,SRP305758,SRR29483153,PRJNA701308,SAMN41021673,HiFi sequencing of 24kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG03457.HFSS_m84046_230728_195023_s2,WGS,GENOMIC,size fractionation,single,Megaruptor 3,Pippin HT,PACBIO_SMRT,Revio,P1,C1,1954186,39739563028,39.74,20335,212,51457,18205,20365,23238,17791,19755,22429,0.591853,TRUE,,,,,
HG03457,3,bam,m84046_230727_225904_s1.hifi_reads.bc2093.bam,s3://human-pangenomics/working/HPRC/HG03457/raw_data/PacBio_HiFi/m84046_230727_225904_s1.hifi_reads.bc2093.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,12.22,,,,v7.0.0,revio_deepconsensus,,SRP305758,SRR29483102,PRJNA701308,SAMN41021673,HiFi sequencing of 24kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG03457.HFSS_m84046_230727_225904_s1,WGS,GENOMIC,size fractionation,single,Megaruptor 3,Pippin HT,PACBIO_SMRT,Revio,P1,C1,1982643,40341169723,40.34,20347,125,53305,18216,20376,23263,17800,19764,22452,0.581484,TRUE,,,,,
HG03457,3,bam,m84046_230728_202047_s3.hifi_reads.bc2093.bam,s3://human-pangenomics/working/HPRC/HG03457/raw_data/PacBio_HiFi/m84046_230728_202047_s3.hifi_reads.bc2093.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,9.75,,,,v7.0.0,revio_deepconsensus,,SRP305758,SRR29483101,PRJNA701308,SAMN41021673,HiFi sequencing of 24kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG03457.HFSS_m84046_230728_202047_s3,WGS,GENOMIC,size fractionation,single,Megaruptor 3,Pippin HT,PACBIO_SMRT,Revio,P1,C1,1604550,32168165375,32.17,20048,113,54776,17991,20036,22816,17602,19469,22028,0.580701,TRUE,,,,,
HG03457,3,bam,m84046_230728_205153_s4.hifi_reads.bc2093.bam,s3://human-pangenomics/working/HPRC/HG03457/raw_data/PacBio_HiFi/m84046_230728_205153_s4.hifi_reads.bc2093.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,9.67,,,,v7.0.0,revio_deepconsensus,,SRP305758,SRR29483103,PRJNA701308,SAMN41021673,HiFi sequencing of 24kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG03457.HFSS_m84046_230728_205153_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 3,Pippin HT,PACBIO_SMRT,Revio,P1,C1,1595159,31921561388,31.92,20011,104,62363,17961,19997,22775,17574,19429,21990,0.576823,TRUE,,,,,
HG03457,3,bam,m84046_230731_200859_s2.hifi_reads.bc2093.bam,s3://human-pangenomics/working/HPRC/HG03457/raw_data/PacBio_HiFi/m84046_230731_200859_s2.hifi_reads.bc2093.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,14.34,,,,v7.0.0,revio_deepconsensus,,SRP305758,SRR29483152,PRJNA701308,SAMN41021673,HiFi sequencing of 24kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG03457.HFSS_m84046_230731_200859_s2,WGS,GENOMIC,size fractionation,single,Megaruptor 3,Pippin HT,PACBIO_SMRT,Revio,P1,C1,2369344,47333857834,47.33,19977,65,53032,17939,19969,22719,17555,19406,21946,0.539738,TRUE,,,,,
HG03458,,bam,m84091_231208_201822_s1.hifi_reads.bc1011.bam,s3://human-pangenomics/working/HPRC/HG03458/raw_data/PacBio_HiFi/m84091_231208_201822_s1.hifi_reads.bc1011.bam,unaligned reads,RU_Y3_topoff_redo,26.51,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR30336748,PRJNA701308,SAMN37797109,HiFi sequencing of 20kb fractionated gDNA,,vgl-lab@rockefeller.edu,Rockefeller University,HG03458_PB2_m84091_231208_201822_s1.hifi_reads.bc1011.bam,WGS,GENOMIC,size fractionation,single,Megaruptor 3,Pippin HT,PACBIO_SMRT,Revio,C1,P1,3745686,82185612598,82.19,21941,133,63208,18702,22357,27038,17683,20872,25111,0.569002,TRUE,,TRUE,FALSE,,
HG03460,3,bam,m84081_240203_015416_s4.hifi_reads.bc2019.bam,s3://human-pangenomics/working/HPRC/HG03460/raw_data/PacBio_HiFi/m84081_240203_015416_s4.hifi_reads.bc2019.bam,unaligned reads,WUSTL_HPRC_HiFi_Y5,40.18,,,,8.0.0,revio_deepconsensus,8.0.0,SRP305758,,PRJNA701308,,HiFi sequencing of 20kb fractionated gDNA,,Washington University,tgraves@wustl.edu,,WGS,GENOMIC,size fractionation,single,Megaruptor 1,Sage PippinHT,PACBIO_SMRT,Revio,C1,P1,6132929,132584673709,132.58,21618,152,69507,19004,21761,25459,18372,20818,24204,0.519288,TRUE,,,,,
HG03460,3,bam,m84081_240202_235451_s3.hifi_reads.bc2019.bam,s3://human-pangenomics/working/HPRC/HG03460/raw_data/PacBio_HiFi/m84081_240202_235451_s3.hifi_reads.bc2019.bam,unaligned reads,WUSTL_HPRC_HiFi_Y5,38.83,,,,8.0.0,revio_deepconsensus,8.0.0,SRP305758,,PRJNA701308,,HiFi sequencing of 20kb fractionated gDNA,,Washington University,tgraves@wustl.edu,,WGS,GENOMIC,size fractionation,single,Megaruptor 1,Sage PippinHT,PACBIO_SMRT,Revio,C1,P1,5949821,128134545269,128.13,21535,100,71124,18935,21668,25362,18307,20732,24096,0.500665,TRUE,,,,,
HG03470,2,bam,m84091_230705_174256_s2.hifi_reads.bc1009.bam,s3://human-pangenomics/working/HPRC/HG03470/raw_data/PacBio_HiFi/m84091_230705_174256_s2.hifi_reads.bc1009.bam,unaligned reads,RU_Y3_topoff_redo,11.1,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR30336727,PRJNA701308,SAMN37797110,HiFi sequencing of 20kb fractionated gDNA,,vgl-lab@rockefeller.edu,Rockefeller University,HG03470_PB1_m84091_230705_174256_s2.hifi_reads.bc1009.bam,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,1399961,34295733741,34.3,24497,110,70709,20781,25534,31304,19169,23378,28738,0.58591,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG03470,2,bam,m84091_230705_184508_s4.hifi_reads.bc1009.bam,s3://human-pangenomics/working/HPRC/HG03470/raw_data/PacBio_HiFi/m84091_230705_184508_s4.hifi_reads.bc1009.bam,unaligned reads,RU_Y3_topoff_redo,11,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR30336726,PRJNA701308,SAMN37797110,HiFi sequencing of 20kb fractionated gDNA,,vgl-lab@rockefeller.edu,Rockefeller University,HG03470_PB1_m84091_230705_184508_s4.hifi_reads.bc1009.bam,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,1363854,34109597312,34.11,25009,217,68532,21189,26154,32139,19455,23857,29458,0.544276,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG03516,2,bam,m84046_231202_110908_s4.hifi_reads.bc2056.bam,s3://human-pangenomics/working/HPRC/HG03516/raw_data/PacBio_HiFi/m84046_231202_110908_s4.hifi_reads.bc2056.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,22.5,,,,8.0.0,revio_deepconsensus,8.0.0,SRP305758,SRR29483076,PRJNA701308,SAMN17861241,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,HG03516.HFSS_m84046_231202_110908_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,3833995,69896055959,69.9,18230,72,68453,15849,18248,21503,15348,17425,20374,0.547524,TRUE,,TRUE,FALSE,2.9.0,2.09
HG03521,2,bam,m84046_230715_064007_s2.hifi_reads.bc2084.bam,s3://human-pangenomics/working/HPRC/HG03521/raw_data/PacBio_HiFi/m84046_230715_064007_s2.hifi_reads.bc2084.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,18.1,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483257,PRJNA701308,SAMN41021651,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG03521.HFSS2_m84046_230715_064007_s2,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,2696081,56036523269,56.04,20784,61,57192,18499,20676,23771,18099,20036,22840,0.56677,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG03521,2,bam,m84046_230715_060901_s1.hifi_reads.bc2084.bam,s3://human-pangenomics/working/HPRC/HG03521/raw_data/PacBio_HiFi/m84046_230715_060901_s1.hifi_reads.bc2084.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,16.9,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483259,PRJNA701308,SAMN41021651,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG03521.HFSS2_m84046_230715_060901_s1,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,2536343,52350380501,52.35,20640,66,58005,18408,20518,23530,18025,19908,22635,0.555924,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG03521,2,bam,m84046_230718_230843_s2.hifi_reads.bc2084.bam,s3://human-pangenomics/working/HPRC/HG03521/raw_data/PacBio_HiFi/m84046_230718_230843_s2.hifi_reads.bc2084.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,32.3,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483260,PRJNA701308,SAMN41021651,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG03521.HFSS2_m84046_230718_230843_s2,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,4850185,100261536810,100.26,20671,96,63166,18419,20551,23601,18030,19928,22685,0.537551,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG03557,3,bam,m84046_240304_232330_s2.hifi_reads.bc2027.bam,s3://human-pangenomics/working/HPRC/HG03557/raw_data/PacBio_HiFi/m84046_240304_232330_s2.hifi_reads.bc2027.bam,unaligned reads,UW_HPRC_HiFi_Y5,17.43,,,,8.0.0,revio_deepconsensus,8.0.0,SRP305758,,PRJNA701308,,HiFi sequencing of 24kb fractionated gDNA,,University of Washington,kmiyamot@uw.edu,,WGS,GENOMIC,size fractionation,single,Megaruptor 3,Pippin HT,PACBIO_SMRT,Revio,C1,P1,2673357,57526875770,57.53,21518,66,66732,18460,21762,26188,17613,20481,24433,0.584207,TRUE,,,,,
HG03557,3,bam,m84046_240314_024949_s3.hifi_reads.bc2027.bam,s3://human-pangenomics/working/HPRC/HG03557/raw_data/PacBio_HiFi/m84046_240314_024949_s3.hifi_reads.bc2027.bam,unaligned reads,UW_HPRC_HiFi_Y5,8.82,,,,8.0.0,revio_deepconsensus,8.0.0,SRP305758,,PRJNA701308,,HiFi sequencing of 24kb fractionated gDNA,,University of Washington,kmiyamot@uw.edu,,WGS,GENOMIC,size fractionation,single,Megaruptor 3,Pippin HT,PACBIO_SMRT,Revio,C1,P1,1368731,29090297783,29.09,21253,185,68315,18235,21435,25787,17424,20197,24053,0.547192,TRUE,,,,,
HG03557,3,bam,m84046_240302_144154_s3.hifi_reads.bc2027.bam,s3://human-pangenomics/working/HPRC/HG03557/raw_data/PacBio_HiFi/m84046_240302_144154_s3.hifi_reads.bc2027.bam,unaligned reads,UW_HPRC_HiFi_Y5,16.85,,,,8.0.0,revio_deepconsensus,8.0.0,SRP305758,,PRJNA701308,,HiFi sequencing of 24kb fractionated gDNA,,University of Washington,kmiyamot@uw.edu,,WGS,GENOMIC,size fractionation,single,Megaruptor 3,Pippin HT,PACBIO_SMRT,Revio,C1,P1,2582394,55602933025,55.6,21531,100,60026,18493,21795,26178,17640,20521,24459,0.541463,TRUE,,,,,
HG03557,3,bam,m84046_240302_124223_s2.hifi_reads.bc2027.bam,s3://human-pangenomics/working/HPRC/HG03557/raw_data/PacBio_HiFi/m84046_240302_124223_s2.hifi_reads.bc2027.bam,unaligned reads,UW_HPRC_HiFi_Y5,16.18,,,,8.0.0,revio_deepconsensus,8.0.0,SRP305758,,PRJNA701308,,HiFi sequencing of 24kb fractionated gDNA,,University of Washington,kmiyamot@uw.edu,,WGS,GENOMIC,size fractionation,single,Megaruptor 3,Pippin HT,PACBIO_SMRT,Revio,C1,P1,2469979,53393514998,53.39,21616,159,62894,18538,21891,26353,17671,20583,24583,0.532433,TRUE,,,,,
HG03567,3,bam,m84081_240515_095620_s1.hifi_reads.bc2022.bam,s3://human-pangenomics/working/HPRC/HG03567/raw_data/PacBio_HiFi/m84081_240515_095620_s1.hifi_reads.bc2022.bam,unaligned reads,WUSTL_HPRC_HiFi_Y5,35.2,,,,8.0.0,revio_deepconsensus,8.0.0,SRP305758,,PRJNA701308,,HiFi sequencing of 20kb fractionated gDNA,,Washington University,tgraves@wustl.edu,,WGS,GENOMIC,size fractionation,single,Megaruptor 1,Sage PippinHT,PACBIO_SMRT,Revio,C1,P1,5316720,116163124439,116.16,21848,88,71739,18935,22058,26295,18171,20889,24717,0.515368,TRUE,,,,,
HG03567,3,bam,m84081_240515_075653_s4.hifi_reads.bc2022.bam,s3://human-pangenomics/working/HPRC/HG03567/raw_data/PacBio_HiFi/m84081_240515_075653_s4.hifi_reads.bc2022.bam,unaligned reads,WUSTL_HPRC_HiFi_Y5,41.1,,,,8.0.0,revio_deepconsensus,8.0.0,SRP305758,,PRJNA701308,,HiFi sequencing of 20kb fractionated gDNA,,Washington University,tgraves@wustl.edu,,WGS,GENOMIC,size fractionation,single,Megaruptor 1,Sage PippinHT,PACBIO_SMRT,Revio,C1,P1,6229810,135641117992,135.64,21772,78,69853,18873,21954,26217,18122,20799,24614,0.490974,TRUE,,,,,
HG03583,2,bam,m84091_230719_172335_s4.hifi_reads.bc1020.bam,s3://human-pangenomics/working/HPRC/HG03583/raw_data/PacBio_HiFi/m84091_230719_172335_s4.hifi_reads.bc1020.bam,unaligned reads,RU_Y4,0,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29405787,PRJNA701308,SAMN41021645,HiFi sequencing of 20kb fractionated gDNA,,vgl-lab@rockefeller.edu,Rockefeller University,HG03583_PB1_m84091_230719_172335_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,243,617846,0,2542,129,4840,2251,2798,3414,1974,2512,3146,1,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG03583,2,bam,m84091_230817_153352_s4.hifi_reads.bc1020.bam,s3://human-pangenomics/working/HPRC/HG03583/raw_data/PacBio_HiFi/m84091_230817_153352_s4.hifi_reads.bc1020.bam,unaligned reads,RU_Y4,4.5,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29405789,PRJNA701308,SAMN41021645,HiFi sequencing of 20kb fractionated gDNA,,vgl-lab@rockefeller.edu,Rockefeller University,HG03583_PB1_m84091_230817_153352_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,658801,13823052723,13.82,20982,374,58773,17589,21310,26145,16579,19701,24014,0.632226,TRUE,,TRUE,FALSE,2.7.1,2.0701
